#lambda  transmission
      100.000  1.44984e-11
      100.251  1.57760e-10
      100.503  2.69379e-10
      100.756  4.58092e-11
      101.010  2.87042e-11
      101.266  1.66986e-10
      101.523  1.31794e-10
      101.781  1.04452e-10
      102.041  3.72446e-10
      102.302  3.52140e-10
      102.564  1.93790e-10
      102.828  7.27486e-10
      103.093  1.41467e-09
      103.359  1.06205e-09
      103.627  1.18001e-09
      103.896  1.01287e-09
      104.167  5.77412e-10
      104.439  9.25572e-10
      104.712  1.13563e-09
      104.987  9.62651e-10
      105.263  7.65866e-09
      105.541  2.20892e-08
      105.820  3.81348e-08
      106.101  6.86705e-08
      106.383  1.68620e-07
      106.667  3.04453e-07
      106.952  2.82334e-07
      107.239  1.21862e-07
      107.527  2.23919e-08
      107.817  1.49646e-07
      108.108  2.76992e-07
      108.401  2.60504e-07
      108.696  3.80966e-07
      108.992  1.18597e-06
      109.290  4.09137e-06
      109.589  9.33367e-06
      109.890  1.51039e-05
      110.193  2.14342e-05
      110.497  3.64381e-05
      110.803  5.79294e-05
      111.111  8.40085e-05
      111.421  0.000122635
      111.732  0.000185827
      112.045  0.000250613
      112.360  0.000327316
      112.676  0.000423595
      112.994  0.000563768
      113.314  0.000744720
      113.636   0.00100742
      113.960   0.00129182
      114.286   0.00148854
      114.613   0.00164058
      114.943   0.00192350
      115.274   0.00225064
      115.607   0.00245514
      115.942   0.00260314
      116.279   0.00290209
      116.618   0.00331417
      116.959   0.00389644
      117.302   0.00460337
      117.647   0.00520291
      117.994   0.00591098
      118.343   0.00694402
      118.694   0.00815097
      119.048   0.00955558
      119.403    0.0112793
      119.760    0.0129742
      120.120    0.0149096
      120.482    0.0175564
      120.846    0.0205002
      121.212    0.0236869
      121.581    0.0275294
      121.951    0.0317968
      122.324    0.0366715
      122.699    0.0427702
      123.077    0.0496095
      123.457    0.0567781
      123.839    0.0656910
      124.224    0.0763843
      124.611    0.0872218
      125.000    0.0996466
      125.392     0.114529
      125.786     0.129435
      126.183     0.146434
      126.582     0.166544
      126.984     0.185356
      127.389     0.205597
      127.796     0.230493
      128.205     0.252862
      128.617     0.274605
      129.032     0.301586
      129.450     0.324261
      129.870     0.343256
      130.293     0.367845
      130.719     0.388629
      131.148     0.403465
      131.579     0.422941
      132.013     0.437648
      132.450     0.441607
      132.890     0.448333
      133.333     0.454161
      133.779     0.450629
      134.228     0.450380
      134.680     0.453477
      135.135     0.450510
      135.593     0.452333
      136.054     0.463038
      136.519     0.468239
      136.986     0.473924
      137.457     0.488863
      137.931     0.496747
      138.408     0.498928
      138.889     0.508083
      139.373     0.510638
