# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W4     RSR     uncertainty (parts per thousand)
 19.00  0.76282E-04   707
 19.01  0.49530E-04   707
 19.02  0.25483E-04  1000
 19.03  0.27740E-04  1000
 19.04  0.30215E-04  1000
 19.05  0.54648E-04   699
 19.06  0.10264E-03   735
 19.07  0.34272E-03   541
 19.08  0.80407E-03   311
 19.09  0.14978E-02   239
 19.10  0.20629E-02   208
 19.11  0.25077E-02   202
 19.12  0.26433E-02   213
 19.13  0.26980E-02   225
 19.14  0.25906E-02   226
 19.15  0.24255E-02   220
 19.16  0.21409E-02   202
 19.17  0.17587E-02   185
 19.18  0.12964E-02   167
 19.19  0.70530E-03   315
 19.20  0.30828E-03   424
 19.21  0.17639E-03   707
 19.22  0.67857E-04   707
 19.23  0.16438E-03  1000
 19.24  0.18023E-03  1000
 19.25  0.16369E-03   707
 19.26  0.30085E-03   707
 19.27  0.42705E-03   707
 19.28  0.54617E-03   707
 19.29  0.65490E-03   707
 19.30  0.15095E-03   361
 19.31  0.74550E-03   654
 19.32  0.81569E-03   580
 19.33  0.92268E-03   453
 19.34  0.10530E-02   371
 19.35  0.12265E-02   334
 19.36  0.14029E-02   324
 19.37  0.17762E-02   301
 19.38  0.22090E-02   274
 19.39  0.29642E-02   221
 19.40  0.38672E-02   166
 19.41  0.47912E-02   120
 19.42  0.56344E-02    84
 19.43  0.63393E-02    59
 19.44  0.68512E-02    49
 19.45  0.73152E-02    46
 19.46  0.76493E-02    49
 19.47  0.79776E-02    55
 19.48  0.82335E-02    52
 19.49  0.84867E-02    50
 19.50  0.88554E-02    54
 19.51  0.93066E-02    60
 19.52  0.99923E-02    72
 19.53  0.10916E-01    84
 19.54  0.12081E-01    94
 19.55  0.13649E-01    97
 19.56  0.15414E-01    95
 19.57  0.17887E-01    87
 19.58  0.20500E-01    77
 19.59  0.24044E-01    71
 19.60  0.27777E-01    65
 19.61  0.32494E-01    63
 19.62  0.37369E-01    62
 19.63  0.42860E-01    61
 19.64  0.48969E-01    60
 19.65  0.56002E-01    58
 19.66  0.63654E-01    56
 19.67  0.71927E-01    54
 19.68  0.81434E-01    53
 19.69  0.91564E-01    52
 19.70  0.10413E+00    51
 19.71  0.11701E+00    51
 19.72  0.13261E+00    52
 19.73  0.14887E+00    53
 19.74  0.16785E+00    54
 19.75  0.18713E+00    55
 19.76  0.20858E+00    57
 19.77  0.23132E+00    57
 19.78  0.25558E+00    58
 19.79  0.28203E+00    58
 19.80  0.30928E+00    59
 19.81  0.34337E+00    58
 19.82  0.37719E+00    58
 19.83  0.41444E+00    57
 19.84  0.45142E+00    57
 19.85  0.48874E+00    56
 19.86  0.52610E+00    55
 19.87  0.55731E+00    54
 19.88  0.58855E+00    53
 19.89  0.61704E+00    50
 19.90  0.64245E+00    48
 19.91  0.66479E+00    45
 19.92  0.68715E+00    43
 19.93  0.70612E+00    41
 19.94  0.72541E+00    39
 19.95  0.74131E+00    38
 19.96  0.75443E+00    37
 19.97  0.76103E+00    37
 19.98  0.76794E+00    37
 19.99  0.76833E+00    37
 20.00  0.76902E+00    37
 20.01  0.76629E+00    37
 20.02  0.76667E+00    37
 20.03  0.76737E+00    36
 20.04  0.76775E+00    36
 20.05  0.77126E+00    35
 20.06  0.77508E+00    35
 20.07  0.77859E+00    35
 20.08  0.78211E+00    36
 20.09  0.78562E+00    37
 20.10  0.78601E+00    38
 20.11  0.78672E+00    38
 20.12  0.79024E+00    39
 20.13  0.79691E+00    39
 20.14  0.80671E+00    38
 20.15  0.81653E+00    38
 20.16  0.82949E+00    37
 20.17  0.83933E+00    36
 20.18  0.84886E+00    35
 20.19  0.85556E+00    34
 20.20  0.85599E+00    33
 20.21  0.85956E+00    33
 20.22  0.85684E+00    32
 20.23  0.85726E+00    32
 20.24  0.85453E+00    34
 20.25  0.85180E+00    36
 20.26  0.84938E+00    38
 20.27  0.84980E+00    40
 20.28  0.84390E+00    41
 20.29  0.83800E+00    42
 20.30  0.83209E+00    42
 20.31  0.82617E+00    41
 20.32  0.82025E+00    40
 20.33  0.81749E+00    39
 20.34  0.81789E+00    37
 20.35  0.81829E+00    36
 20.36  0.82472E+00    35
 20.37  0.83147E+00    35
 20.38  0.84140E+00    35
 20.39  0.84816E+00    35
 20.40  0.85493E+00    35
 20.41  0.85853E+00    35
 20.42  0.86213E+00    35
 20.43  0.86573E+00    34
 20.44  0.86934E+00    33
 20.45  0.87614E+00    33
 20.46  0.88294E+00    32
 20.47  0.89293E+00    31
 20.48  0.89975E+00    31
