Name,agn_frac,agn_frac_mir,alpha,chi2,lir_total,norm
1RXSJ044154.5-082639,0.465,0.85,1.625,1.70322438916,10.6454040597,0.0197483206429
1RXSJ045205.0+493248,0.5979,0.85,2.25,4.66794825852,10.820726606,0.327346234548
2E1739.1-1210,0.5572,0.85,2.0,1.30747360752,11.1387517,0.26521685882
2MASXiJ1802473-145454,0.2221,0.55,2.0625,0.733472419411,9.06052241379,0.249834586927
2MASXJ00253292+6821442,0.6541,0.9,1.9375,1.89731777829,9.94003017981,0.151077200931
2MASXJ01064523+0638015,0.7332,0.95,1.5625,4.51521927482,10.800185115,0.0307494188526
2MASXJ01073963-1139117,0.3159,0.7,1.875,15.0492972967,11.0477543943,0.0814643581832
2MASXJ03305218+0538253,0.7332,0.95,1.5625,8.5632773285,11.0866297649,0.0469003397785
2MASXJ03342453-1513402,0.1565,0.5,1.8125,15.455865689,10.7465218957,0.0525728417212
2MASXJ03502377-5018354,0.0,0.0,1.8125,1.34047599862,10.4496985982,0.0170261456505
2MASXJ03534246+3714077,0.0909,0.35,1.8125,18.8819384978,10.2300987455,0.051062705686
2MASXJ04234080+0408017,0.4804,0.85,1.6875,8.91830750831,11.1977256597,0.0841688937384
2MASXJ04440903+2813003,0.1202,0.35,2.1875,0.107452349147,10.068662946,0.262421337438
2MASXJ05020903+0331499,0.4229,0.75,2.125,3.55380875592,9.45768939822,0.0361753738604
2MASXJ05054575-2351139,0.6404,0.9,1.875,7.12131672463,10.6581177804,0.0766287855442
2MASXJ06561197-4919499,0.7445,0.95,1.625,10.9679031844,11.0620114193,0.0704156043359
2MASXJ07595347+2323241,0.0,0.0,2.0625,17.7243498931,11.0717944299,0.243529507567
2MASXJ09043699+5536025,0.2524,0.7,1.5625,1.51051911911,10.3099639285,0.00818379001464
2MASXJ09235371-3141305,0.2118,0.65,1.5625,0.837802235099,10.1584237589,0.00413216441364
2MASXJ09254750+6927532,0.8448,0.95,2.5,2.45295989274,10.7615859844,0.220985388316
2MASXJ09594263-3112581,0.8084,0.95,2.0,5.23694479287,11.1297168299,0.286437623152
