Name,agn_frac,agn_name,agn_norm,chi2,host_name,host_norm,lir_total
2MASXJ09043699+5536025,0.239258496,Mean,-2.587216735,0.048905059,SB4,-2.896125604,10.19145811
ARP102B,0.850562519,Mean,-1.960360083,0.09793186,SB1,-3.134718734,9.885841951
1RXSJ044154.5-082639,0.540384647,Mean,-2.165881041,0.213036142,SB2,-2.91664024,10.41048242
2MASXJ05020903+0331499,0.475308241,Mean,-2.469479587,0.378206399,SB1,-2.845662637,9.265361216
2MASXJ01064523+0638015,0.83380517,Mean,-1.826356423,0.422588201,SB3,-3.37436352,10.49841049
2MASXJ00253292+6821442,0.787408163,Mean,-1.574092196,0.520222552,SB1,-2.561857474,9.689558786
MCG-01-09-045,0.046632232,Mean,-3.32407979,0.567252575,SB1,-2.432617473,9.225177212
2E1739.1-1210,0.633298583,Mean,-1.444797287,0.670923134,SB1,-2.101205164,10.90771876
UGC08327NED02,0.4662146,Mean,-1.386849056,0.797252643,Arp220,-3.095605187,11.08784718
ESO121-IG028,0.137225628,Mean,-2.598614599,0.851173738,SB5,-2.829766898,10.49927056
CGCG468-002NED01,0.169899139,Mean,-1.693293188,0.976517742,SB5,-2.033967809,10.56795397
WKK4438,0.454890024,Mean,-1.469064174,1.157593207,SB1,-1.809598406,10.28539517
2MASXJ04440903+2813003,0.132968159,Mean,-1.960031322,1.278141063,SB1,-1.564855879,10.02091878
Mrk841,0.926364381,Mean,-1.265617059,1.311663104,SB2,-3.04576169,10.90768115
UGC03995A,0.373088333,Mean,-1.499467094,1.342649675,SB1,-1.693184358,10.33069703
2MASXJ05054575-2351139,0.832443918,Mean,-1.74482204,1.506762082,SB1,-2.860128777,10.4404464
Mrk1310,0.426279344,Mean,-2.308079011,1.628341617,SB1,-2.598184762,9.651424462
UGC11185NED02,0.212835524,Mean,-2.277522138,1.645403877,SB5,-2.739115077,10.64472728
2MASXJ09235371-3141305,0.351651229,Mean,-2.68149167,1.700543344,Arp220,-4.18333207,10.04755984
NGC1125,0.063215764,Mean,-1.971613401,1.998107656,SB4,-1.612077833,10.30566192
2MASXJ12335145-2103448,0.563799695,Mean,-1.851418064,2.04529059,SB2,-2.643307659,10.13099875
ESO033-G002,0.782501959,Mean,-1.213314338,2.199955705,SB1,-2.18845637,10.4140616
ESO198-024,0.827520498,Mean,-1.986036929,2.3696045,SB1,-3.08619015,10.43531378
2MASXJ03305218+0538253,0.922360519,Mean,-1.55424915,2.509814069,SB1,-3.048179177,10.82978722
IC4518A,6.41E-16,Mean,-15.73096511,2.571872996,SB3,-1.385567589,10.88858428
2MASXJ06561197-4919499,0.930509208,Mean,-1.474268683,2.723663261,SB1,-3.020174048,10.80288578
KAZ320,0.647782698,Mean,-1.703969314,2.735424497,SB2,-2.649038695,10.57636395
ESO137-34,0.244888739,Mean,-1.297361669,2.785744607,SB1,-1.227431486,10.23553773
IC2461,0.025350261,Mean,-2.6388018,2.794631737,SB1,-1.473047608,9.500333023
ESO464-G016,0.138192999,Mean,-2.475217196,2.796845213,SB5,-2.709907529,10.52266119
ESO490-IG026,0.248925451,Mean,-1.50722699,2.847769381,SB3,-1.875173269,10.89726272
2MASXJ03502377-5018354,0.090289417,Mean,-2.737364679,2.889574283,SB5,-2.763712587,10.44879095
UGC05881,0.105159178,Mean,-2.024343948,3.010259806,SB5,-2.12405965,10.58829755
2MASXJ21355399+4728217,0.583498613,Mean,-1.567866341,3.075154813,SB1,-2.133401666,10.47197741
ESO479-G031,0.45000233,Mean,-2.558957182,3.098228311,SB5,-3.501425403,9.539970456
CGCG229-015,0.570170525,Mean,-2.076874315,3.109965358,SB1,-2.618694832,10.06954279
ESO209-G012,0.458558313,Mean,-1.365294478,3.196994606,SB1,-1.712249307,11.20805735
IRAS05078+1626,0.704012115,Mean,-1.072668266,3.207367333,SB3,-2.296534487,10.58979741
KUG1208+386,0.88973875,Mean,-1.670658317,3.292781829,SB1,-2.996609861,10.10421277
IC4709,0.508121061,Mean,-1.594094492,3.437585278,SB1,-2.027315409,10.16068902
2MASXJ15462424+6929102,0.332533809,Mean,-2.439325083,3.654515363,SB4,-2.94801023,10.20229585
CGCG312-012,0.431076377,Mean,-2.541876503,3.753349893,SB1,-2.840488709,9.650822134
Mrk290,0.923599417,Mean,-1.628063591,3.891711879,SB1,-3.129562519,10.36132413
SBS1301+540,0.431906775,Mean,-2.541197648,3.996389283,SB1,-2.841280003,9.787925951
MCG+08-11-011,0.693297518,Mean,-0.702529135,4.004649232,SB1,-1.475843438,11.08644468
Mrk335,0.950357761,Mean,-1.364895559,4.137843754,SB1,-3.066043271,10.49046415
ESO417-G006,0.457369076,Mean,-2.203405063,4.245075726,Arp220,-3.896704273,9.564540687
MCG+12-10-067,0.260024168,Mean,-1.76555574,4.380457331,SB1,-1.730463869,10.88704777
2MASXJ18570768-7828212,0.78842116,Mean,-1.515088609,4.382975709,SB1,-2.505486597,10.85554884
2MASXJ15115979-2119015,0.258523235,Mean,-1.525393655,4.410317032,SB4,-1.879074303,11.38345679
MCG-01-05-047,0.05839892,Mean,-2.000109245,4.530817317,SB1,-1.211759062,10.70930334
2MASXJ04234080+0408017,0.538430293,Mean,-1.639153447,4.711835153,SB2,-2.386496357,10.95893381
NGC5273,0.190742162,Mean,-2.152358022,4.884463112,SB5,-2.554332117,8.732200057
MCG-02-12-050,0.18368865,Mean,-2.105445577,4.937936719,SB1,-1.876784012,10.76883653
Mrk3,5.11E-14,Mean,-14.18589025,4.96058998,Arp220,-2.662146757,10.36973882
NGC5506,0.52280456,Mean,-0.523430915,4.96466212,SB2,-1.243524721,10.16118608
MCG-01-30-041,0.151496587,Mean,-1.930242175,4.983711464,SB5,-2.211605737,10.44438282
Mrk6,0.806815278,Mean,-1.030265687,5.12617653,SB1,-2.070178971,10.61784758
Mrk348,0.771083032,Mean,-1.114028594,5.169733065,SB1,-2.060563702,10.35650964
NGC3516,0.657821321,Mean,-1.014263292,5.329012785,Arp220,-3.065655245,10.07756486
MCG+01-57-016,0.198035901,Mean,-1.910366601,5.36703842,SB3,-2.150515624,10.59785238
LEDA170194,0.465811295,Mean,-1.849291367,5.402825028,SB1,-2.208918629,10.62875274
NGC1052,0.760698006,Mean,-1.158300389,5.503345568,SB1,-2.079678299,9.266127685
IRAS04124-0803,0.805691165,Mean,-1.2224248,5.562587407,SB2,-2.520551576,11.05308335
2MASXJ09594263-3112581,0.833170933,Mean,-1.510743516,5.620113401,SB1,-2.628317852,10.72264694
6dFJ0626586-370559,0.4846217,Mean,-2.035157854,5.665686893,SB1,-2.427546531,10.46943136
CGCG341-006,0.164777756,Mean,-2.000742811,5.708310275,SB4,-2.107117955,11.13713072
CGCG122-055,0.461915961,Mean,-1.694792506,5.83889897,SB2,-2.308956089,10.30793706
NGC5252,0.595101724,Mean,-1.696105615,5.947158716,SB1,-2.282462844,10.26050204
Mrk417,0.908826593,Mean,-1.761046191,6.104584198,SB1,-3.17877098,10.32606162
ARK347,0.73241306,Mean,-1.536596461,6.140796921,SB1,-2.392999575,10.30922949
Mrk279,0.613229815,Mean,-1.367777257,6.206891928,SB5,-2.597561839,10.82532862
MCG-01-13-025,0.721757405,Mean,-2.101574837,6.250189206,SB1,-2.934654418,9.446556436
NGC424,0.827323648,Mean,-0.742529964,6.299516495,SB1,-1.842084487,10.48223694
MCG-05-23-016,0.95517334,Mean,-0.70252221,6.400182027,Arp220,-3.798604971,10.17396025
Mrk618,0.3385293,Mean,-1.199150673,6.439340227,SB2,-1.588687048,11.38972801
IC4329A,0.946921794,Mean,-0.593413036,6.504723903,SB1,-2.263922858,10.84560066
NGC5610,0.05795642,Mean,-1.811311584,6.517294794,SB5,-1.629956449,10.8854525
CGCG420-015,0.850215804,Mean,-1.148402451,6.567075057,SB1,-2.321577581,10.87131015
Fairall51,0.41318459,Mean,-1.165428175,6.622060799,SB3,-1.860630803,10.52458404
2MASXiJ1802473-145454,0.245107736,Mean,-1.699499806,6.714821134,SB1,-1.630083799,8.969866082
KUG1141+371,0.647364021,Mean,-2.392099631,6.725941248,SB1,-3.075033518,9.976085745
2MASXJ21090996-0940147,0.863512664,Mean,-1.446856188,6.889152215,SB1,-2.667144491,10.47484374
1RXSJ045205.0+493248,0.592621951,Mean,-1.652415253,6.924013605,SB1,-2.234307312,10.51219413
LEDA38038,0.619730919,Mean,-1.033290033,7.369759701,Arp220,-3.012939135,11.0796912
NGC3786,0.047426999,Mean,-2.303715688,7.62610626,SB2,-1.681293789,9.954415541
NGC5899,0.063014551,Mean,-1.658969169,7.672959486,SB1,-0.905789114,10.54860539
MCG-06-30-015,0.837108274,Mean,-0.965211128,7.844365212,SB2,-2.356544462,9.889166988
IC5063,0.804936552,Mean,-0.457254245,7.957086708,SB1,-1.491951946,10.74787979
NGC3783,0.691237163,Mean,-0.633352575,7.968388496,SB1,-1.402466579,10.4279787
Ark120,0.655270637,Mean,-1.314179548,8.00541627,SB1,-2.012233927,10.91382002
IRAS05589+2828,0.772593182,Mean,-1.129087204,8.061312362,SB5,-2.689848901,11.03515341
Mrk817,0.514130661,Mean,-1.06465373,8.189212206,SB4,-1.900486353,11.23382391
UGC03478,0.182968382,Mean,-1.694026418,8.264169754,SB1,-1.463275552,10.25790796
MCG-02-14-009,0.520766174,Mean,-1.697673251,8.351817443,SB1,-2.152880502,10.50617827
NGC4138,0.054208998,Mean,-2.103625199,8.430847764,SB1,-1.281013354,9.172098482
NGC6300,0.177222886,Mean,-0.61554163,8.695043127,SB1,-0.36789118,10.10051805
VIIZw073,0.259726683,Mean,-1.550909389,8.699094323,Arp220,-2.863570815,11.28762105
MCG-02-08-014,0.442015515,Mean,-1.90201274,9.089752229,SB1,-2.21994008,9.905302967
MCG+02-57-002,0.099136502,Mean,-2.491993647,9.186260399,SB3,-2.381128269,10.44915988
2MASXJ10402231-4625264,0.240274234,Mean,-1.780687074,9.189873189,SB2,-1.961188144,10.60554127
ESO323-077,0.212599482,Mean,-1.10471754,9.405219138,SB2,-1.216534769,10.9241902
Mrk1210,0.826346527,Mean,-0.866178123,9.436233679,SB5,-2.573271162,10.47954642
2MASXJ20101740+4800214,0.296802128,Mean,-2.387222716,9.519567185,SB1,-2.431724127,9.968150512
ESO399-20,0.31117666,Mean,-1.805074832,9.533020576,SB1,-1.87908594,10.50606583
MCG-01-24-012,0.461450995,Mean,-1.60513734,9.607334829,SB1,-1.957149647,10.32371192
NGC931,0.416509283,Mean,-1.004196682,9.655518053,SB1,-1.276899364,10.82366566
NGC7469,1.36E-12,Mean,-11.6557819,9.693228514,SB4,-0.600156123,11.64073726
2MASXJ15064412+0351444,0.164381834,Mean,-3.237323116,9.848497063,SB5,-3.560783374,9.717672916
CGCG493-002,0.63328643,Mean,-1.560558652,9.988222966,SB5,-2.827446161,10.43661831
2MASXJ20005575-1810274,0.698580989,Mean,-1.183153896,10.06630041,SB3,-2.39576004,11.12961885
Mrk766,0.438152626,Mean,-0.97135239,10.10444098,Arp220,-2.630896406,10.61225439
ESO141-G055,0.576812637,Mean,-1.420891994,10.98760972,SB1,-1.974506019,10.97482234
NGC3431,0.14962613,Mean,-2.087820964,11.00112739,SB1,-1.752330449,10.2294642
IRAS03219+4031,0.141281425,Mean,-2.048012196,11.00367907,Arp220,-3.031783358,11.18391892
CGCG535-012,0.640278056,Mean,-1.970859515,11.22430147,SB1,-2.640373149,10.60322408
NGC3393,0.308547539,Mean,-1.361052637,11.2614692,SB1,-1.429724345,10.34589534
Mrk79,0.659838072,Mean,-1.012500486,11.29423233,SB1,-1.7193641,10.86851367
Mrk477,0.588531414,Mean,-1.315065256,11.52083974,Arp220,-3.238035173,11.08663033
CGCG367-009,0.77992447,Mean,-2.189619614,11.54886159,SB1,-3.158212351,9.685041614
ESO578-G009,0.16500309,Mean,-2.354389433,11.75474256,SB1,-2.069308589,10.53323323
IRAS05218-1212,0.922916217,Mean,-1.369599907,11.81929899,SB1,-2.866911112,11.070935
ESO499-G041,0.473253244,Mean,-1.708532927,12.30765288,SB1,-2.081136606,9.833906163
NGC6240,0.124141581,Mean,-0.857825365,12.37014479,Arp220,-1.776845683,11.83554625
NGC235A,0.063357628,Mean,-2.1567263,12.52426268,SB2,-1.667402134,10.74351676
NGC1194,0.873909458,Mean,-1.141215083,12.94632741,SB1,-2.40111096,10.18668337
2MASXJ11454045-1827149,0.594282282,Mean,-1.77850811,12.95461609,SB5,-2.973891225,10.49831448
MCG-03-34-064,0.639926535,Mean,-0.601995166,12.97119475,Arp220,-2.619271119,11.03347955
ESO005-G004,0.06656096,Mean,-1.446847896,13.18521474,SB1,-0.719093462,10.14481478
MCG+02-21-013,0.065264278,Mean,-2.546700292,13.19741955,SB1,-1.809798939,10.72868131
Mrk198,0.17766797,Mean,-2.095153725,13.28278378,SB2,-2.110166383,10.43308263
NGC6814,0.0491529,Mean,-1.58092209,13.40901824,SB1,-0.713472499,10.14241102
NGC3081,0.50616386,Mean,-0.976477108,13.58532286,SB1,-1.406297321,10.07303537
IC2921,0.750631924,Mean,-1.993153898,13.68919471,SB1,-2.890852022,10.44123898
2MASXJ09254750+6927532,0.77055127,Mean,-2.028400081,13.83318842,SB1,-2.97362791,10.28592189
NGC5548,0.685520493,Mean,-1.122398526,13.98336139,SB1,-1.879938566,10.51627211
ESO103-035,0.934619552,Mean,-0.693760037,13.98366848,Arp220,-3.616483963,10.58473162
UGC10593,0.337055521,Mean,-1.942400881,13.99404211,SB1,-2.067737118,10.47186265
Fairall49,0.507653835,Mean,-0.881936639,14.31623615,SB4,-1.706512364,11.02222866
ESO511-G030,0.065841022,Mean,-2.389801947,14.48877799,SB1,-1.656989669,10.50007722
NGC2110,0.235125911,Mean,-1.199990766,14.55568658,SB2,-1.368152032,10.26164563
Mrk1392,0.460005398,Mean,-1.75311104,14.61084167,SB1,-2.102596498,10.71715147
NGC4619,0.058917789,Mean,-2.294992528,14.72288613,SB1,-1.510723352,10.67098362
ESO374-G044,0.623733438,Mean,-1.710431987,15.16869599,SB1,-2.349047337,10.41506328
ESO297-018,0.177030457,Mean,-1.99863831,15.18979069,SB1,-1.750414486,10.56719572
Mrk18,0.138758638,Mean,-1.762042106,15.31345792,Arp220,-2.736714209,10.1862892
MCG+06-16-028,0.378051567,Mean,-1.261012223,15.47741863,SB2,-1.725259611,10.55682861
Mrk359,0.327084316,Mean,-1.601252872,15.60166777,SB2,-1.968402664,10.36947218
NGC7465,0.021293893,Mean,-2.37151427,15.73867334,SB5,-1.738731352,9.876759297
LCRSB034324.7-394349,0.705272996,Mean,-1.89073436,16.12166119,SB1,-2.688783634,10.54484328
NGC2992,0.096907007,Mean,-1.349436418,16.1284365,SB5,-1.409673432,10.39361946
Mrk509,0.71047813,Mean,-1.040069309,16.12865001,SB2,-2.110389371,11.19747962
NGC6860,0.448020678,Mean,-1.258564299,16.38297886,SB1,-1.587051498,10.43896849
UGC03601,0.368349274,Mean,-2.025059719,16.76167285,SB1,-2.209954486,9.880652248
