Name,agn_frac,agn_name,agn_norm,chi2,host_name,host_norm,lir_total
1RXSJ044154.5-082639,0.540384647493,Mean,-2.16588104119,0.213036141649,SB2,-2.91664023977,10.4104824173
1RXSJ045205.0+493248,0.592621951417,Mean,-1.65241525303,6.92401360548,SB1,-2.23430731218,10.5121941292
2E1739.1-1210,0.633298583149,Mean,-1.44479728746,0.670923133663,SB1,-2.10120516431,10.9077187626
2MASXiJ1802473-145454,0.245107736251,Mean,-1.69949980588,6.71482113387,SB1,-1.63008379859,8.96986608199
2MASXJ00253292+6821442,0.787408163499,Mean,-1.57409219609,0.520222552127,SB1,-2.56185747392,9.68955878648
2MASXJ01064523+0638015,0.83380517035,Mean,-1.82635642276,0.422588201392,SB3,-3.37436352007,10.4984104915
2MASXJ01073963-1139117,0.369806433367,Mean,-1.88577553299,18.8514348937,SB5,-2.68389033743,10.9232256649
2MASXJ03305218+0538253,0.922360518613,Mean,-1.55424914968,2.50981406858,SB1,-3.0481791772,10.8297872167
2MASXJ03342453-1513402,0.24103469257,Mean,-2.05222083951,20.3570477652,SB5,-2.58369277846,10.6687002662
2MASXJ03502377-5018354,0.0902894166842,Mean,-2.73736467924,2.88957428261,SB5,-2.76371258696,10.4487909451
2MASXJ03534246+3714077,0.169289262924,Mean,-2.14134605789,19.4799290192,SB5,-2.48013995582,10.1770578095
2MASXJ04234080+0408017,0.538430292503,Mean,-1.63915344675,4.71183515334,SB2,-2.38649635723,10.9589338096
2MASXJ04440903+2813003,0.132968159003,Mean,-1.96003132188,1.27814106296,SB1,-1.56485587927,10.0209187763
2MASXJ05020903+0331499,0.475308241083,Mean,-2.46947958736,0.378206398525,SB1,-2.84566263713,9.26536121598
2MASXJ05054575-2351139,0.832443918218,Mean,-1.74482204024,1.50676208174,SB1,-2.86012877735,10.4404463957
2MASXJ06561197-4919499,0.930509208467,Mean,-1.47426868316,2.72366326104,SB1,-3.02017404839,10.8028857763
2MASXJ07595347+2323241,0.165557699113,Mean,-1.73875466986,111.593261505,SB1,-1.45541968839,10.9852649582
2MASXJ09043699+5536025,0.239258495929,Mean,-2.58721673459,0.04890505885,SB4,-2.89612560422,10.1914581052
2MASXJ09235371-3141305,0.23621425222,Mean,-2.88481237361,3.99087683804,SB2,-3.05559764455,10.0170451764
2MASXJ09254750+6927532,0.770551269546,Mean,-2.0284000807,13.8331884156,SB1,-2.97362791037,10.285921894
2MASXJ09594263-3112581,0.833170932599,Mean,-1.51074351608,5.62011340137,SB1,-2.62831785249,10.7226469404
2MASXJ10402231-4625264,0.240274234353,Mean,-1.78068707404,9.18987318913,SB2,-1.96118814405,10.6055412699
2MASXJ11454045-1827149,0.594282281586,Mean,-1.77850810974,12.9546160933,SB5,-2.97389122491,10.4983144824
2MASXJ12005792+0648226,0.495663204047,Mean,-1.76242379829,64.5066927771,SB1,-2.17400177158,10.6731914467
2MASXJ12313717-4758019,0.137466610017,Mean,-1.95313652971,18.3560213391,SB2,-1.83600855983,10.8038401465
2MASXJ12335145-2103448,0.563799695013,Mean,-1.85141806356,2.04529058981,SB2,-2.64330765875,10.1309987489
2MASXJ13411287-1438407,0.720506375925,Mean,-1.90754867488,40.1495708999,SB1,-2.73792654662,10.4977224543
2MASXJ15064412+0351444,0.164381834258,Mean,-3.23732311642,9.84849706292,SB5,-3.56078337363,9.71767291573
2MASXJ15115979-2119015,0.258523235282,Mean,-1.52539365496,4.41031703199,SB4,-1.87907430314,11.3834567905
